Name,Address,Address 2,City,State,Zip code,Phone,Website,Services,Open hours,Location1,Icon
CVSO Human Service Agency,1487 Huntington Ave,,South San Francisco,CA,94080,(650) 802-6598,http://hsa.smcgov.org/veterans,Assistance with benefits and claims submission,Thursday 9:00am - 3:30pm,"1487 Huntington Ave South
San Francisco, CA 94080
(37.644432, -122.421913)",https://data.smcgov.org/views/4xn4-u9tu/files/9be55e6d-5176-4955-b5d6-91755cbbeee3
Daly City Community Services Center,350 90th Street,,Daly City,CA,94015,(650) 991 8007,,"Serves Areas: Daly City, Broadmoor, Colma",,"350 90th Street
Daly City, CA 94015
(37.691122, -122.473556)",https://data.smcgov.org/views/4xn4-u9tu/files/7de7a05f-b5be-42ee-8b56-c52019e4bda3
EL Concilio of San Mateo,1798 Bay Road ,,East Palo Alto,CA,94303,(650) 330 7432,,Serves Areas: East Palo Alto and Menlo Park,,"1798 Bay Road East
Palo Alto, CA 94303
(37.471846, -122.134412)",https://data.smcgov.org/views/4xn4-u9tu/files/83ce13f6-4cdd-48b6-8fdd-28104cb68fb3
Fair Oaks Community Center ,2600 Middlefield Road,,Redwood City,CA,94063,(650) 780 7500,,"Serves Areas: Redwood City, Portola Valley, North Fair Oaks, Woodside, Atherton",,"2600 Middlefield Road
Redwood City, CA 94063
(37.477693, -122.212938)",https://data.smcgov.org/views/4xn4-u9tu/files/8312c830-5d4e-43e9-8ecd-959821d3665f
Pacifica Resource Center,1809 Palmetto Drive ,,Pacifica,CA,94044,(650) 738 7470,,"Serves Areas: Pacifica, North of Devils Slide",,"1809 Palmetto Drive
Pacifica, CA 94044
(37.635073, -122.492055)",https://data.smcgov.org/views/4xn4-u9tu/files/7abbb398-fd9e-4571-ace5-e3287a5a3138
Peninsula Vet Center,345 Middlefield Rd,,Menlo Park,CA,94025,(650) 617-4300,http://www.va.gov/directory/guide/facility.asp?ID=5072,Assistance with benefits and claims submission,Every last Friday 9:00am - 3:00pm,"345 Middlefield Rd
Menlo Park, CA 94025
(37.457682, -122.170302)",https://data.smcgov.org/views/4xn4-u9tu/files/08cc4126-df5f-4f4f-8a10-0f6a06af5d00
Samaritan House ,4031 Pacific Blvd ,,San Mateo,CA,94402,(650) 347 3648,,"Serves Areas: San Mateo, Burlingame, Millbrae, Hillsborough, Belmont, San Carlos, Foster City",,"4031 Pacific Blvd
San Mateo, CA 94402
(37.530648, -122.288398)",https://data.smcgov.org/views/4xn4-u9tu/files/0dd64995-7390-4954-ba88-48df9a53f959
Skyline College,3300 College Dr,"Building 2, Room 2-350",San bruno,CA,94066,(650) 738-7060,http://www.skylinecollege.edu/veterans/,Assistance with benefits and claims submission,Every 3rd Wednesday 9:00am - 3:00pm,"3300 College Dr
San bruno, CA 94066
(37.63202, -122.464556)",https://data.smcgov.org/views/4xn4-u9tu/files/f66e41e1-3a1e-401a-8654-a1602e1bb84d
VA Palo Alto,3801 Miranda Ave,"Building 4, 2nd floor",San Carlos,CA,94070,(650) 493-5000,http://www.paloalto.va.gov/,Assistance with benefits and claims submission,Every other Monday 9:00am - 3:00pm,"3801 Miranda Ave
San Carlos, CA 94070
",https://data.smcgov.org/views/4xn4-u9tu/files/96bdc0f4-d75c-4652-a3ff-a8449f7e685e
VA San Bruno ,1001 Sneath Lane,Suite 300,San Bruno,CA,94066,(650) 615-6000,http://www.sanfrancisco.va.gov/locations/sanbruno.asp,Assistance with benefits and claims submission,Every other Monday 9:00am - 3:00pm,"1001 Sneath Lane
San Bruno, CA 94066
(37.634683, -122.425896)",https://data.smcgov.org/views/4xn4-u9tu/files/80d84729-5bea-4bc3-92e2-1f26dbe27988
Veteran Resource Center,795 Willow Rd,Building 323-C,Menlo Park,CA,94025,(650) 566-0240,http://www.vetsresource.org/vrc-next-step.html,Assistance with benefits and claims submission,Tuesday 8:30am-3:00pm,"795 Willow Rd
Menlo Park, CA 94025
(37.466105, -122.156885)",https://data.smcgov.org/views/4xn4-u9tu/files/35f39834-2da0-41e5-bb36-4ce5185add99
YMCA Community Resource Center,1486 Huntington Ave,,South San Francisco,CA,94080,(650) 276 4101,,"Serves Areas: South San Francisco, San Bruno, Brisbane ",,"1486 Huntington Ave South
San Francisco, CA 94080
(37.644575, -122.422096)",https://data.smcgov.org/views/4xn4-u9tu/files/69ac751b-ea5a-473d-8c10-b9cddb178499
